ANTIGUO HOSPITAL GENERAL;monument;POINT(-0.38172306548408 39.4703521868959)
L'ALMOINA. CENTRO ARQUEOLÓGICO;monument;POINT(-0.374510419327105 39.4764323764372)
ATARAZANAS;monument;POINT(-0.333555124537779 39.461326278985)
MUSEO BENLLIURE;museum;POINT(-0.379299201301796 39.4803039023834)
ERMITA DE SANTA LUCÍA;monument;POINT(-0.38306940687593 39.4705371370808)
EDIFICIO DEL RELOJ (PUERTO);monument;POINT(-0.331845986985155 39.4601340121867)
REAL COLEGIO DE CORPUS CHRISTI (PATRIARCA);monument;POINT(-0.373069611417394 39.4726331636285)
PALACIO ARZOBISPAL;monument;POINT(-0.374344634650976 39.475271571197)
LONJA;monument;POINT(-0.378385744179224 39.4743834129457)
